index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
32,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
33,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
34,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
35,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
36,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
37,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
38,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
39,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
40,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
41,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
42,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
43,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
44,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
45,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
46,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
47,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
48,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
49,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
50,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
51,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
52,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
53,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
54,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
55,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
56,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
57,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
58,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
59,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
60,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
61,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
62,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
63,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
64,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
65,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
66,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
67,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
68,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
69,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
70,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
71,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
72,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
73,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
74,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
75,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
76,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
77,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
78,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
79,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
80,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
81,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
82,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
83,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,465.86,16064.24242
