index,glir11,qo11,qt11,wc11,glir22,qo22,qt22,wc22
51,542,165,210.1,3.987,200,31,31,2
52,542,165,210.1,3.987,200,31,31,2
53,542,165,210.1,3.987,200,31,31,2
54,542,165,210.1,3.987,200,31,31,2
55,542,165,210.1,3.987,200,31,31,2
56,542,165,210.1,3.987,200,31,31,2
57,542,165,210.1,3.987,200,31,31,2
58,542,165,210.1,3.987,200,31,31,2
59,542,165,210.1,3.987,200,31,31,2
60,542,165,210.1,3.987,200,31,31,2
61,542,165,210.1,3.987,200,31,31,2
62,542,165,210.1,3.987,200,31,31,2
63,542,165,210.1,3.987,200,31,31,2
64,542,165,210.1,3.987,200,31,31,2
65,542,165,210.1,3.987,200,31,31,2
66,542,165,210.1,3.987,200,31,31,2
67,542,165,210.1,3.987,200,31,31,2
68,542,165,210.1,3.987,200,31,31,2
69,542,165,210.1,3.987,200,31,31,2
70,542,165,210.1,3.987,200,31,31,2
71,542,165,210.1,3.987,200,31,31,2
72,542,165,210.1,3.987,200,31,31,2
73,542,165,210.1,3.987,200,31,31,2
74,542,165,210.1,3.987,200,31,31,2
75,542,165,210.1,3.987,200,31,31,2
76,542,165,210.1,3.987,200,31,31,2
77,542,165,210.1,3.987,200,31,31,2
78,542,165,210.1,3.987,200,31,31,2
79,542,165,210.1,3.987,200,31,31,2
80,542,165,210.1,3.987,200,31,31,2
81,542,165,210.1,3.987,200,31,31,2
82,542,165,210.1,3.987,200,31,31,2
83,542,165,210.1,3.987,200,31,31,2
84,542,165,210.1,3.987,200,31,31,2
85,542,165,210.1,3.987,200,31,31,2
86,542,165,210.1,3.987,200,31,31,2
87,542,165,210.1,3.987,200,31,31,2
88,542,165,210.1,3.987,200,31,31,2
89,542,165,210.1,3.987,200,31,31,2
90,542,165,210.1,3.987,200,31,31,2
91,542,165,210.1,3.987,200,31,31,2
92,542,165,210.1,3.987,200,31,31,2
93,542,165,210.1,3.987,200,31,31,2
94,542,165,210.1,3.987,200,31,31,2
95,542,165,210.1,3.987,200,31,31,2
96,542,165,210.1,3.987,200,31,31,2
97,542,165,210.1,3.987,200,31,31,2
98,542,165,210.1,3.987,200,31,31,2
99,542,165,210.1,3.987,200,31,31,2
100,542,165,210.1,3.987,200,31,31,2
101,542,139.73,184.83,3.987,200,5.73,5.73,2
102,542,139.73,184.83,3.987,200,5.73,5.73,2
103,542,139.73,184.83,3.987,200,5.73,5.73,2
104,542,139.73,184.83,3.987,200,5.73,5.73,2
105,542,139.73,184.83,3.987,200,5.73,5.73,2
106,542,139.73,184.83,3.987,200,5.73,5.73,2
107,542,139.73,184.83,3.987,200,5.73,5.73,2
108,542,139.73,184.83,3.987,200,5.73,5.73,2
109,542,139.73,184.83,3.987,200,5.73,5.73,2
110,542,139.73,184.83,3.987,200,5.73,5.73,2
111,542,139.73,184.83,3.987,200,5.73,5.73,2
112,542,139.73,184.83,3.987,200,5.73,5.73,2
113,542,139.73,184.83,3.987,200,5.73,5.73,2
114,542,139.73,184.83,3.987,200,5.73,5.73,2
115,542,139.73,184.83,3.987,200,5.73,5.73,2
116,542,139.73,184.83,3.987,200,5.73,5.73,2
117,542,139.73,184.83,3.987,200,5.73,5.73,2
118,542,139.73,184.83,3.987,200,5.73,5.73,2
119,542,139.73,184.83,3.987,200,5.73,5.73,2
120,542,139.73,184.83,3.987,200,5.73,5.73,2
121,542,139.73,184.83,3.987,200,5.73,5.73,2
122,542,139.73,184.83,3.987,200,5.73,5.73,2
123,542,139.73,184.83,3.987,200,5.73,5.73,2
124,542,139.73,184.83,3.987,200,5.73,5.73,2
125,542,139.73,184.83,3.987,200,5.73,5.73,2
126,542,139.73,184.83,3.987,200,5.73,5.73,2
127,542,139.73,184.83,3.987,200,5.73,5.73,2
128,542,139.73,184.83,3.987,200,5.73,5.73,2
129,542,139.73,184.83,3.987,200,5.73,5.73,2
130,542,139.73,184.83,3.987,200,5.73,5.73,2
131,542,139.73,184.83,3.987,200,5.73,5.73,2
132,542,139.73,184.83,3.987,200,5.73,5.73,2
133,542,139.73,184.83,3.987,200,5.73,5.73,2
134,542,139.73,184.83,3.987,200,5.73,5.73,2
135,542,139.73,184.83,3.987,200,5.73,5.73,2
136,542,139.73,184.83,3.987,200,5.73,5.73,2
137,542,139.73,184.83,3.987,200,5.73,5.73,2
138,542,139.73,184.83,3.987,200,5.73,5.73,2
139,542,139.73,184.83,3.987,200,5.73,5.73,2
140,542,139.73,184.83,3.987,200,5.73,5.73,2
141,542,139.73,184.83,3.987,200,5.73,5.73,2
142,542,139.73,184.83,3.987,200,5.73,5.73,2
143,542,139.73,184.83,3.987,200,5.73,5.73,2
144,542,139.73,184.83,3.987,200,5.73,5.73,2
145,542,139.73,184.83,3.987,200,5.73,5.73,2
