index,glir11,qo11,qt11,glir22,qo22,qt22
11002,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11003,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11004,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11005,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11006,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11007,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11008,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11009,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11010,542,165.0827753,332.0033922,0,28.00682521,141.8363827
11011,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11012,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11013,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11014,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11015,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11016,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11017,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11018,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11019,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11020,542,154.6695198,300.7846629,0,17.0368791,101.8637407
11021,542,147.946722,276.2779604,0,10.64140051,73.80294596
11022,542,147.946722,276.2779604,0,10.64140051,73.80294596
11023,542,147.946722,276.2779604,0,10.64140051,73.80294596
11024,542,147.946722,276.2779604,0,10.64140051,73.80294596
11025,542,147.946722,276.2779604,0,10.64140051,73.80294596
11026,542,147.946722,276.2779604,0,10.64140051,73.80294596
11027,542,147.946722,276.2779604,0,10.64140051,73.80294596
11028,542,147.946722,276.2779604,0,10.64140051,73.80294596
11029,542,147.946722,276.2779604,0,10.64140051,73.80294596
11030,542,147.946722,276.2779604,0,10.64140051,73.80294596
11031,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11032,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11033,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11034,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11035,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11036,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11037,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11038,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11039,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11040,542,143.6064837,257.0401989,0,6.912836499,54.10426806
11041,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11042,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11043,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11044,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11045,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11046,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11047,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11048,542,140.8044259,241.9385561,0,4.739083679,40.27579618
