index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
86,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
87,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
88,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
89,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
90,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
91,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
92,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
93,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
94,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
95,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
96,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
97,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
98,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
99,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
100,54.2,165,359,3.987,465.86,16064.24242,0,31,31,0,582,81632.65306
101,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
102,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
103,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
104,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
105,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
106,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
107,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
108,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
109,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
110,54.2,139.73,333.73,3.987,705,20346.38231,0,5.73,5.73,0,717.2,35714.28571
