index,glir,qo,qt,wc,ch,gor
208,54.2,135.35,329.35,3.99,985,19667.53
209,54.2,135.35,329.35,3.99,985,19667.53
210,54.2,135.35,329.35,3.99,985,19667.53
211,54.2,135.35,329.35,3.99,985,19667.53
212,54.2,135.35,329.35,3.99,985,19667.53
213,54.2,135.35,329.35,3.99,985,19667.53
214,54.2,135.35,329.35,3.99,985,19667.53
215,54.2,135.35,329.35,3.99,985,19667.53
216,54.2,135.35,329.35,3.99,985,19667.53
217,54.2,135.35,329.35,3.99,985,19667.53
218,54.2,135.35,329.35,3.99,985,19667.53
219,54.2,135.35,329.35,3.99,985,19667.53
220,54.2,135.35,329.35,3.99,985,19667.53
221,54.2,135.35,329.35,3.99,985,19667.53
222,54.2,135.35,329.35,3.99,985,19667.53
223,54.2,135.35,329.35,3.99,985,19667.53
224,54.2,135.35,329.35,3.99,985,19667.53
225,54.2,135.35,329.35,3.99,985,19667.53
226,54.2,135.35,329.35,3.99,985,19667.53
227,54.2,135.35,329.35,3.99,985,19667.53
228,54.2,135.35,329.35,3.99,985,19667.53
229,54.2,135.35,329.35,3.99,985,19667.53
230,54.2,135.35,329.35,3.99,985,19667.53
231,54.2,135.35,329.35,3.99,985,19667.53
232,54.2,135.35,329.35,3.99,985,19667.53
233,54.2,135.35,329.35,3.99,985,19667.53
234,54.2,135.35,329.35,3.99,985,19667.53
235,54.2,137.2,331.2,3.99,1133,19839.65
236,54.2,137.2,331.2,3.99,1133,19839.65
237,54.2,137.2,331.2,3.99,1133,19839.65
238,54.2,137.2,331.2,3.99,1133,19839.65
239,54.2,137.2,331.2,3.99,1133,19839.65
240,54.2,137.2,331.2,3.99,1133,19839.65
241,54.2,137.2,331.2,3.99,1133,19839.65
242,54.2,137.2,331.2,3.99,1133,19839.65
243,54.2,137.2,331.2,3.99,1133,19839.65
244,54.2,137.2,331.2,3.99,1133,19839.65
245,54.2,137.2,331.2,3.99,1133,19839.65
246,54.2,137.2,331.2,3.99,1133,19839.65
247,54.2,137.2,331.2,3.99,1133,19839.65
248,54.2,137.2,331.2,3.99,1133,19839.65
249,54.2,137.2,331.2,3.99,1133,19839.65
250,54.2,137.2,331.2,3.99,1133,19839.65
251,54.2,137.2,331.2,3.99,1133,19839.65
252,54.2,137.2,331.2,3.99,1133,19839.65
253,54.2,137.2,331.2,3.99,1133,19839.65
254,54.2,137.2,331.2,3.99,1133,19839.65
255,54.2,137.2,331.2,3.99,1133,19839.65
256,54.2,137.2,331.2,3.99,1133,19839.65
257,54.2,137.2,331.2,3.99,1133,19839.65
258,54.2,137.2,331.2,3.99,1133,19839.65
259,54.2,137.2,331.2,3.99,1133,19839.65
260,54.2,137.2,331.2,3.99,1133,19839.65
261,54.2,137.2,331.2,3.99,1133,19839.65
262,54.2,137.2,331.2,3.99,1133,19839.65
263,54.2,137.2,331.2,3.99,1133,19839.65
264,54.2,137.2,331.2,3.99,1133,19839.65
265,54.2,137.2,331.2,3.99,1133,19839.65
266,54.2,137.2,331.2,3.99,1133,19839.65
267,54.2,137.2,331.2,3.99,1133,19839.65
268,54.2,138.82,332.82,3.99,1133,21120.88
269,54.2,138.82,332.82,3.99,1133,21120.88
270,54.2,138.82,332.82,3.99,1133,21120.88
271,54.2,138.82,332.82,3.99,1133,21120.88
272,54.2,138.82,332.82,3.99,1133,21120.88
273,54.2,138.82,332.82,3.99,1133,21120.88
274,54.2,138.82,332.82,3.99,1133,21120.88
275,54.2,138.82,332.82,3.99,1133,21120.88
276,54.2,138.82,332.82,3.99,1133,21120.88
277,54.2,138.82,332.82,3.99,1133,21120.88
278,54.2,138.82,332.82,3.99,1133,21120.88
279,54.2,138.82,332.82,3.99,1133,21120.88
280,54.2,138.82,332.82,3.99,1133,21120.88
281,54.2,138.82,332.82,3.99,1133,21120.88
282,54.2,138.82,332.82,3.99,1133,21120.88
283,54.2,138.82,332.82,3.99,1133,21120.88
284,54.2,138.82,332.82,3.99,1133,21120.88
285,54.2,138.82,332.82,3.99,1133,21120.88
286,54.2,138.82,332.82,3.99,1133,21120.88
287,54.2,138.82,332.82,3.99,1133,21120.88
288,54.2,138.82,332.82,3.99,1133,21120.88
289,54.2,138.82,332.82,3.99,1133,21120.88
