index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
76,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
77,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
78,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
79,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
80,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
81,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
82,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
83,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
84,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
85,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
86,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
87,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
88,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
89,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
90,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
91,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
92,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
93,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
94,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
95,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
96,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
97,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
98,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
99,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
100,54.2,138.9,332.9,3.99,655,21828.65,600,4.9,5.02,3,582,4081.632653
101,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
102,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
103,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
104,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
105,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
106,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
107,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
108,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
109,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
110,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
111,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
112,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
113,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
114,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
115,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
116,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
117,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
118,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
119,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
120,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
121,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
122,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
123,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
124,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
125,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
126,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
127,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
128,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
129,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
130,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
131,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
132,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
133,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
134,54.2,141,335,3.99,790.2,20439.72,600,7,7.24,4,717.2,1785.714286
135,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
136,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
137,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
138,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
139,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
140,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
141,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
142,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
143,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
144,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
145,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
146,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
147,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
148,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
149,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
150,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
151,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
152,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
153,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
154,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
155,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
156,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
157,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
158,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
